sample_id,latitude,longitude,date,landslide,state_id,state_name,state_lgd,district_id,district_name,dist_lgd,elevation_m,slope_deg,aspect_deg,curvature,terrain_quality,district_mean_slope,district_p90_slope,rainfall_1d,rainfall_3d,rainfall_7d,month_sin,month_cos,historical_event_count,event_density_per_sqkm,distance_to_nearest_event_km
1,23.465558,92.855991,2024-05-28,1,mizoram,Mizoram,15,serchhip,Serchhip,285,1080.0,13.81,131.14,0.003592,valid,23.05,35.58,75.6821517944336,124.16787719726562,149.87127685546875,0.5,-0.866,203,0.145759,0.135
2,23.58694444,92.8175,2024-09-12,0,mizoram,Mizoram,15,serchhip,Serchhip,285,631.0,4.58,290.67,-0.00752,valid,23.05,35.58,11.704018592834473,13.402031898498535,74.28479766845703,-1.0,-0.0,213,0.152939,0.0
3,23.43277778,92.76111111,2024-05-28,1,mizoram,Mizoram,15,aizawl,Aizawl,283,1493.0,24.37,259.2,0.002548,valid,21.31,32.8,75.6821517944336,124.16787719726562,149.87127685546875,0.5,-0.866,908,0.42834,0.097
4,23.27598056,93.14351667,2024-06-21,0,mizoram,Mizoram,15,khawzawl,Khawzawl,703,666.0,6.83,61.82,-0.003331,valid,22.79,34.18,2.014720678329468,44.397212982177734,76.46062469482422,0.0,-1.0,141,0.14417,5.376
5,23.67444444,92.71472222,2024-05-28,1,mizoram,Mizoram,15,aizawl,Aizawl,283,988.0,24.41,262.84,-0.005631,valid,21.31,32.8,111.03622436523438,171.81805419921875,189.3459320068359,0.5,-0.866,908,0.42834,0.062
6,22.437107,92.946912,2025-05-31,1,mizoram,Mizoram,15,saiha,Saiha,288,338.0,28.79,193.81,0.004386,valid,25.05,36.96,168.83685302734375,255.81968688964844,368.4573669433594,0.5,-0.866,87,0.059072,0.252
7,23.199961,92.488796,2025-06-01,1,mizoram,Mizoram,15,lunglei,Lunglei,286,730.0,10.29,32.21,-0.012273,valid,19.99,32.35,78.46866607666016,225.6912841796875,310.3818359375,0.0,-1.0,503,0.141911,0.741
8,24.781694,93.776056,2018-07-27,0,manipur,Manipur,14,kangpokpi,Kangpokpi,679,1001.0,25.37,63.14,-0.016356,valid,21.13,32.13,30.22935485839844,60.17921447753906,121.5015869140625,-0.5,-0.866,44,0.031877,0.0
9,24.72074444,93.30899167,2024-07-02,1,manipur,Manipur,14,tamenglong,Tamenglong,273,372.0,6.48,175.5,0.007827,valid,23.59,37.2,47.01715087890625,60.961029052734375,96.11970520019533,-0.5,-0.866,321,0.10618,2.021
10,23.74472222,92.69277778,2024-05-28,1,mizoram,Mizoram,15,aizawl,Aizawl,283,974.0,23.12,158.13,-0.00587,valid,21.31,32.8,111.03622436523438,171.81805419921875,189.3459320068359,0.5,-0.866,908,0.42834,0.191
