candidate_id,label,feature_count,validation_strategy,roc_auc,pr_auc,precision,recall,f1_score,brier_score,ece,true_negatives,false_positives,false_negatives,true_positives
Candidate_A_RF_Leakage_Free,RF-LEAKAGE-FREE-BASELINE,7,Chronological_Holdout,0.9206,0.9328,0.8312,0.8204,0.8258,0.1189,0.0609,710,142,153,699
Candidate_A_RF_Leakage_Free,RF-LEAKAGE-FREE-BASELINE,7,Location_Group_5Fold_CV,0.9644,0.9669,0.9173,0.8897,0.9033,0.0722,0.0252,1009,88,121,976
Candidate_A_RF_Leakage_Free,RF-LEAKAGE-FREE-BASELINE,7,District_Group_5Fold_CV,0.9347,0.9403,0.8888,0.8013,0.8428,0.1022,0.0276,987,110,218,879
Candidate_B_RF_Terrain,RF-TERRAIN-ENHANCED,13,Chronological_Holdout,0.9148,0.9219,0.8335,0.8228,0.8281,0.1206,0.0558,712,140,151,701
Candidate_B_RF_Terrain,RF-TERRAIN-ENHANCED,13,Location_Group_5Fold_CV,0.9608,0.963,0.9156,0.8797,0.8973,0.0773,0.0351,1008,89,132,965
Candidate_B_RF_Terrain,RF-TERRAIN-ENHANCED,13,District_Group_5Fold_CV,0.9329,0.9398,0.8856,0.7976,0.8393,0.1038,0.034,984,113,222,875
Candidate_C_RF_Inventory,RF-TERRAIN-INVENTORY-ENHANCED,15,Chronological_Holdout,0.8912,0.8924,0.8196,0.8263,0.8229,0.1347,0.0909,697,155,148,704
Candidate_C_RF_Inventory,RF-TERRAIN-INVENTORY-ENHANCED,15,Location_Group_5Fold_CV,0.9647,0.9677,0.9155,0.8988,0.9071,0.0735,0.0403,1006,91,111,986
Candidate_C_RF_Inventory,RF-TERRAIN-INVENTORY-ENHANCED,15,District_Group_5Fold_CV,0.91,0.8977,0.8937,0.7894,0.8383,0.1343,0.0957,994,103,231,866
Candidate_D_HistGB_Prod,HistGB-LEAKAGE-FREE-BASELINE,7,Chronological_Holdout,0.9013,0.9208,0.7613,0.8533,0.8046,0.1472,0.0999,624,228,125,727
Candidate_D_HistGB_Prod,HistGB-LEAKAGE-FREE-BASELINE,7,Location_Group_5Fold_CV,0.9595,0.9614,0.9018,0.8961,0.8989,0.0766,0.0383,990,107,114,983
Candidate_D_HistGB_Prod,HistGB-LEAKAGE-FREE-BASELINE,7,District_Group_5Fold_CV,0.9225,0.9312,0.8315,0.8277,0.8296,0.121,0.0774,913,184,189,908
Diagnostic_RF_NoGeo,RF-NO-GEO-DIAGNOSTIC,5,Chronological_Holdout,0.9239,0.9344,0.8225,0.8157,0.8191,0.1153,0.0534,702,150,157,695
Diagnostic_RF_NoGeo,RF-NO-GEO-DIAGNOSTIC,5,Location_Group_5Fold_CV,0.95,0.9544,0.8776,0.8624,0.8699,0.0881,0.0131,965,132,151,946
Diagnostic_RF_NoGeo,RF-NO-GEO-DIAGNOSTIC,5,District_Group_5Fold_CV,0.9104,0.9165,0.8587,0.7366,0.7929,0.1221,0.0501,964,133,289,808
