threshold,stage,prototype_risk_band,disclaimer,precision,recall,specificity,false_positive_rate,false_negative_rate,f1_score,true_negatives,false_positives,false_negatives,true_positives
0.2,INTERNAL_PRE2024_DEVELOPMENT,GREEN_PROTOTYPE (Low Risk Band — High Sensitivity),prototype decision-support thresholds requiring domain/expert validation,0.6267,0.8393,0.5,0.5,0.1607,0.7176,56,56,18,94
0.3,INTERNAL_PRE2024_DEVELOPMENT,GREEN_PROTOTYPE (Low Risk Band — High Sensitivity),prototype decision-support thresholds requiring domain/expert validation,0.6667,0.7679,0.6161,0.3839,0.2321,0.7137,69,43,26,86
0.4,INTERNAL_PRE2024_DEVELOPMENT,YELLOW_PROTOTYPE (Balanced Operations Band),prototype decision-support thresholds requiring domain/expert validation,0.75,0.6964,0.7679,0.2321,0.3036,0.7222,86,26,34,78
0.5,INTERNAL_PRE2024_DEVELOPMENT,YELLOW_PROTOTYPE (Balanced Operations Band),prototype decision-support thresholds requiring domain/expert validation,0.8434,0.625,0.8839,0.1161,0.375,0.7179,99,13,42,70
0.6,INTERNAL_PRE2024_DEVELOPMENT,ORANGE_PROTOTYPE (Elevated Risk Band),prototype decision-support thresholds requiring domain/expert validation,0.8816,0.5982,0.9196,0.0804,0.4018,0.7128,103,9,45,67
0.7,INTERNAL_PRE2024_DEVELOPMENT,ORANGE_PROTOTYPE (Elevated Risk Band),prototype decision-support thresholds requiring domain/expert validation,0.9118,0.5536,0.9464,0.0536,0.4464,0.6889,106,6,50,62
0.8,INTERNAL_PRE2024_DEVELOPMENT,RED_PROTOTYPE (High Confidence Alert Band),prototype decision-support thresholds requiring domain/expert validation,0.8929,0.4464,0.9464,0.0536,0.5536,0.5952,106,6,62,50
0.2,LOCKED_2024_2025_HOLDOUT_EVALUATION,GREEN_PROTOTYPE (Low Risk Band — High Sensitivity),prototype decision-support thresholds requiring domain/expert validation,0.6145,0.9824,0.3838,0.6162,0.0176,0.7561,327,525,15,837
0.3,LOCKED_2024_2025_HOLDOUT_EVALUATION,GREEN_PROTOTYPE (Low Risk Band — High Sensitivity),prototype decision-support thresholds requiring domain/expert validation,0.71,0.9425,0.615,0.385,0.0575,0.8099,524,328,49,803
0.4,LOCKED_2024_2025_HOLDOUT_EVALUATION,YELLOW_PROTOTYPE (Balanced Operations Band),prototype decision-support thresholds requiring domain/expert validation,0.7766,0.8732,0.7488,0.2512,0.1268,0.8221,638,214,108,744
0.5,LOCKED_2024_2025_HOLDOUT_EVALUATION,YELLOW_PROTOTYPE (Balanced Operations Band),prototype decision-support thresholds requiring domain/expert validation,0.83,0.8192,0.8322,0.1678,0.1808,0.8246,709,143,154,698
0.6,LOCKED_2024_2025_HOLDOUT_EVALUATION,ORANGE_PROTOTYPE (Elevated Risk Band),prototype decision-support thresholds requiring domain/expert validation,0.8647,0.7653,0.8803,0.1197,0.2347,0.812,750,102,200,652
0.7,LOCKED_2024_2025_HOLDOUT_EVALUATION,ORANGE_PROTOTYPE (Elevated Risk Band),prototype decision-support thresholds requiring domain/expert validation,0.8991,0.7324,0.9178,0.0822,0.2676,0.8072,782,70,228,624
0.8,LOCKED_2024_2025_HOLDOUT_EVALUATION,RED_PROTOTYPE (High Confidence Alert Band),prototype decision-support thresholds requiring domain/expert validation,0.9308,0.7101,0.9472,0.0528,0.2899,0.8056,807,45,247,605
