candidate_id,label,feature_count,validation_strategy,eval_threshold,roc_auc,pr_auc,precision,recall,f1_score,specificity,accuracy,false_positive_rate,false_negative_rate,brier_score,ece,true_negatives,false_positives,false_negatives,true_positives
Candidate_A_RF_Leakage_Free,RF-LEAKAGE-FREE-BASELINE,7,Locked_2024_2025_Holdout_t0.50,0.5,0.9197,0.9332,0.83,0.8192,0.8246,0.8322,0.8257,0.1678,0.1808,0.1195,0.0624,709,143,154,698
Candidate_A_RF_Leakage_Free,RF-LEAKAGE-FREE-BASELINE,7,Locked_2024_2025_Holdout_t0.35,0.35,0.9197,0.9332,0.7457,0.919,0.8233,0.6866,0.8028,0.3134,0.081,0.1195,0.0624,585,267,69,783
Candidate_B_RF_Terrain,RF-TERRAIN-ENHANCED,13,Locked_2024_2025_Holdout_t0.50,0.5,0.9123,0.9204,0.831,0.8192,0.8251,0.8333,0.8263,0.1667,0.1808,0.1228,0.0613,710,142,154,698
Candidate_B_RF_Terrain,RF-TERRAIN-ENHANCED,13,Locked_2024_2025_Holdout_t0.35,0.35,0.9123,0.9204,0.7428,0.9049,0.8159,0.6866,0.7958,0.3134,0.0951,0.1228,0.0613,585,267,81,771
Candidate_C_RF_Inventory,RF-TERRAIN-INVENTORY-ENHANCED,15,Locked_2024_2025_Holdout_t0.50,0.5,0.8938,0.8965,0.8175,0.8204,0.819,0.8169,0.8187,0.1831,0.1796,0.1332,0.0914,696,156,153,699
Candidate_C_RF_Inventory,RF-TERRAIN-INVENTORY-ENHANCED,15,Locked_2024_2025_Holdout_t0.35,0.35,0.8938,0.8965,0.714,0.9026,0.7973,0.6385,0.7705,0.3615,0.0974,0.1332,0.0914,544,308,83,769
Candidate_D_HistGB_Prod,HistGB-LEAKAGE-FREE-BASELINE,7,Locked_2024_2025_Holdout_t0.50,0.5,0.9013,0.9208,0.7613,0.8533,0.8046,0.7324,0.7928,0.2676,0.1467,0.1472,0.0999,624,228,125,727
Candidate_D_HistGB_Prod,HistGB-LEAKAGE-FREE-BASELINE,7,Locked_2024_2025_Holdout_t0.35,0.35,0.9013,0.9208,0.7009,0.8885,0.7836,0.6209,0.7547,0.3791,0.1115,0.1472,0.0999,529,323,95,757
Diagnostic_RF_NoGeo,RF-NO-GEO-DIAGNOSTIC,5,Locked_2024_2025_Holdout_t0.50,0.5,0.9236,0.9328,0.8219,0.8122,0.817,0.8239,0.8181,0.1761,0.1878,0.1154,0.0446,702,150,160,692
Diagnostic_RF_NoGeo,RF-NO-GEO-DIAGNOSTIC,5,Locked_2024_2025_Holdout_t0.35,0.35,0.9236,0.9328,0.7574,0.9049,0.8246,0.7101,0.8075,0.2899,0.0951,0.1154,0.0446,605,247,81,771
