district_id,state_id,total_samples,positive_count,control_count,status,roc_auc,f1_score
serchhip,mizoram,238,119,119,EVALUATED,0.9769,0.8973
aizawl,mizoram,654,327,327,EVALUATED,0.9693,0.8777
khawzawl,mizoram,80,40,40,EVALUATED,0.7556,0.6176
saiha,mizoram,12,6,6,EVALUATED,1.0,0.9231
lunglei,mizoram,264,132,132,EVALUATED,0.9828,0.9161
kangpokpi,manipur,0,0,0,NO_TEST_SAMPLES,N/A,N/A
tamenglong,manipur,14,7,7,EVALUATED,0.898,0.7273
ri_bhoi,meghalaya,24,12,12,EVALUATED,0.9236,0.9167
south_west_khasi_hills,meghalaya,14,7,7,EVALUATED,0.9388,0.9333
dima_hasao,assam,4,2,2,INSUFFICIENT_SUPPORT,N/A,0.0
kamrup_rural,assam,0,0,0,NO_TEST_SAMPLES,N/A,N/A
pherzawl,manipur,72,36,36,EVALUATED,0.6582,0.2667
tawang,arunachal_pradesh,0,0,0,NO_TEST_SAMPLES,N/A,N/A
eastern_west_khasi_hills,meghalaya,56,28,28,EVALUATED,0.8724,0.76
kamrup_metro,assam,24,12,12,EVALUATED,0.7847,0.6957
sribhumi,assam,0,0,0,NO_TEST_SAMPLES,N/A,N/A
west_jaintia_hills,meghalaya,0,0,0,NO_TEST_SAMPLES,N/A,N/A
east_khasi_hills,meghalaya,32,16,16,EVALUATED,0.9688,0.9032
pakyong,sikkim,0,0,0,NO_TEST_SAMPLES,N/A,N/A
hailakandi,assam,0,0,0,NO_TEST_SAMPLES,N/A,N/A
keyi_panyor,arunachal_pradesh,0,0,0,NO_TEST_SAMPLES,N/A,N/A
mokokchung,nagaland,26,13,13,EVALUATED,0.9112,0.6
kohima,nagaland,24,12,12,EVALUATED,1.0,0.9565
noney,manipur,26,13,13,EVALUATED,0.8935,0.5556
papumpare,arunachal_pradesh,0,0,0,NO_TEST_SAMPLES,N/A,N/A
jiribam,manipur,8,4,4,EVALUATED,0.75,0.0
shamator,nagaland,0,0,0,NO_TEST_SAMPLES,N/A,N/A
lawngtlai,mizoram,6,3,3,EVALUATED,1.0,1.0
west_khasi_hills,meghalaya,10,5,5,EVALUATED,0.8,0.9091
west_tripura,tripura,0,0,0,NO_TEST_SAMPLES,N/A,N/A
churachandpur,manipur,58,29,29,EVALUATED,0.6908,0.0
saitual,mizoram,12,6,6,EVALUATED,0.8889,0.4444
cachar,assam,0,0,0,NO_TEST_SAMPLES,N/A,N/A
hnahthial,mizoram,14,7,7,EVALUATED,1.0,0.875
chumoukedima,nagaland,6,3,3,EVALUATED,1.0,0.8
dhalai,tripura,0,0,0,NO_TEST_SAMPLES,N/A,N/A
champhai,mizoram,10,5,5,EVALUATED,1.0,0.8889
east_jaintia_hills,meghalaya,0,0,0,NO_TEST_SAMPLES,N/A,N/A
gangtok,sikkim,2,1,1,INSUFFICIENT_SUPPORT,N/A,0.0
tseminyu,nagaland,4,2,2,INSUFFICIENT_SUPPORT,N/A,0.0
kamjang,manipur,0,0,0,NO_TEST_SAMPLES,N/A,N/A
soreng,sikkim,0,0,0,NO_TEST_SAMPLES,N/A,N/A
mangan,sikkim,2,1,1,INSUFFICIENT_SUPPORT,N/A,0.0
ukhrul,manipur,0,0,0,NO_TEST_SAMPLES,N/A,N/A
namchi,sikkim,2,1,1,INSUFFICIENT_SUPPORT,N/A,1.0
west_kameng,arunachal_pradesh,0,0,0,NO_TEST_SAMPLES,N/A,N/A
gyalshing,sikkim,2,1,1,INSUFFICIENT_SUPPORT,N/A,0.0
wokha,nagaland,2,1,1,INSUFFICIENT_SUPPORT,N/A,1.0
kolasib,mizoram,0,0,0,NO_TEST_SAMPLES,N/A,N/A
south_garo_hills,meghalaya,0,0,0,NO_TEST_SAMPLES,N/A,N/A
tengnoupal,manipur,0,0,0,NO_TEST_SAMPLES,N/A,N/A
dibang_valley,arunachal_pradesh,2,1,1,INSUFFICIENT_SUPPORT,N/A,1.0
darang,assam,0,0,0,NO_TEST_SAMPLES,N/A,N/A
mon,nagaland,0,0,0,NO_TEST_SAMPLES,N/A,N/A
