candidate_id,label,feature_count,validation_strategy,roc_auc,pr_auc,precision,recall,f1_score,specificity,accuracy,false_positive_rate,false_negative_rate,brier_score,ece,true_negatives,false_positives,false_negatives,true_positives
Candidate_A_RF_Leakage_Free,RF-LEAKAGE-FREE-BASELINE,7,Chronological_Holdout_2024_2025,0.9197,0.9332,0.83,0.8192,0.8246,0.8322,0.8257,0.1678,0.1808,0.1195,0.0624,709,143,154,698
Candidate_A_RF_Leakage_Free,RF-LEAKAGE-FREE-BASELINE,7,Rolling_Temporal_Fold_1_Pre2024,0.8981,0.9014,0.8293,0.85,0.8395,0.825,0.8375,0.175,0.15,0.1343,0.0994,33,7,6,34
Candidate_A_RF_Leakage_Free,RF-LEAKAGE-FREE-BASELINE,7,Rolling_Temporal_Fold_2_Pre2024,0.7505,0.7981,0.8372,0.5,0.6261,0.9028,0.7014,0.0972,0.5,0.2139,0.1457,65,7,36,36
Candidate_A_RF_Leakage_Free,RF-LEAKAGE-FREE-BASELINE,7,Location_Group_5Fold_CV,0.9644,0.9669,0.9173,0.8897,0.9033,0.9198,0.9047,0.0802,0.1103,0.0722,0.0252,1009,88,121,976
Candidate_A_RF_Leakage_Free,RF-LEAKAGE-FREE-BASELINE,7,District_Group_5Fold_CV,0.9347,0.9403,0.8888,0.8013,0.8428,0.8997,0.8505,0.1003,0.1987,0.1022,0.0276,987,110,218,879
Candidate_A_RF_Leakage_Free,RF-LEAKAGE-FREE-BASELINE,7,State_Group_5Fold_CV,0.9214,0.9294,0.8294,0.8377,0.8336,0.8277,0.8327,0.1723,0.1623,0.1129,0.0329,908,189,178,919
Candidate_B_RF_Terrain,RF-TERRAIN-ENHANCED,13,Chronological_Holdout_2024_2025,0.9123,0.9204,0.831,0.8192,0.8251,0.8333,0.8263,0.1667,0.1808,0.1228,0.0613,710,142,154,698
Candidate_B_RF_Terrain,RF-TERRAIN-ENHANCED,13,Rolling_Temporal_Fold_1_Pre2024,0.905,0.8958,0.814,0.875,0.8434,0.8,0.8375,0.2,0.125,0.1287,0.089,32,8,5,35
Candidate_B_RF_Terrain,RF-TERRAIN-ENHANCED,13,Rolling_Temporal_Fold_2_Pre2024,0.7818,0.8225,0.8222,0.5139,0.6325,0.8889,0.7014,0.1111,0.4861,0.194,0.1217,64,8,35,37
Candidate_B_RF_Terrain,RF-TERRAIN-ENHANCED,13,Location_Group_5Fold_CV,0.9608,0.963,0.9156,0.8797,0.8973,0.9189,0.8993,0.0811,0.1203,0.0773,0.0351,1008,89,132,965
Candidate_B_RF_Terrain,RF-TERRAIN-ENHANCED,13,District_Group_5Fold_CV,0.9329,0.9398,0.8856,0.7976,0.8393,0.897,0.8473,0.103,0.2024,0.1038,0.034,984,113,222,875
Candidate_B_RF_Terrain,RF-TERRAIN-ENHANCED,13,State_Group_5Fold_CV,0.9127,0.913,0.7986,0.8277,0.8129,0.7912,0.8095,0.2088,0.1723,0.1198,0.0502,868,229,189,908
Candidate_C_RF_Inventory,RF-TERRAIN-INVENTORY-ENHANCED,15,Chronological_Holdout_2024_2025,0.8938,0.8965,0.8175,0.8204,0.819,0.8169,0.8187,0.1831,0.1796,0.1332,0.0914,696,156,153,699
Candidate_C_RF_Inventory,RF-TERRAIN-INVENTORY-ENHANCED,15,Rolling_Temporal_Fold_1_Pre2024,0.9131,0.9265,0.814,0.875,0.8434,0.8,0.8375,0.2,0.125,0.1279,0.0978,32,8,5,35
