model_id,feature_set,feature_count,validation_strategy,roc_auc,pr_auc,precision,recall,f1_score,brier_score,ece,true_negatives,false_positives,false_negatives,true_positives
Production_RF_Baseline,Model_A_Production_Baseline,7,Chronological_Holdout,0.9902,0.9902,0.9566,0.9319,0.9441,0.0437,0.0507,816,36,58,794
Production_RF_Baseline,Model_A_Production_Baseline,7,Location_Group_5Fold_CV,0.9909,0.9907,0.9606,0.9325,0.9463,0.0444,0.0631,1055,42,74,1023
Exp_RandomForestClassifier,Model_A_Production_Baseline,7,Chronological_Holdout,0.9122,0.9256,0.823,0.8075,0.8152,0.1243,0.0586,704,148,164,688
Exp_RandomForestClassifier,Model_A_Production_Baseline,7,Location_Group_5Fold_CV,0.9643,0.9667,0.9132,0.8915,0.9022,0.0716,0.0312,1004,93,119,978
Exp_RandomForestClassifier,Model_A_Production_Baseline,7,District_Group_5Fold_CV,0.9354,0.9402,0.8916,0.7876,0.8364,0.1017,0.0312,992,105,233,864
Exp_RandomForestClassifier,Model_A_Production_Baseline,7,Event_Aware_5Fold_CV,0.9643,0.9667,0.9132,0.8915,0.9022,0.0716,0.0312,1004,93,119,978
Exp_HistGradientBoostingClassifier,Model_A_Production_Baseline,7,Chronological_Holdout,0.9013,0.9208,0.7613,0.8533,0.8046,0.1472,0.0999,624,228,125,727
Exp_HistGradientBoostingClassifier,Model_A_Production_Baseline,7,Location_Group_5Fold_CV,0.9595,0.9614,0.9018,0.8961,0.8989,0.0766,0.0383,990,107,114,983
Exp_HistGradientBoostingClassifier,Model_A_Production_Baseline,7,District_Group_5Fold_CV,0.9225,0.9312,0.8315,0.8277,0.8296,0.121,0.0774,913,184,189,908
Exp_HistGradientBoostingClassifier,Model_A_Production_Baseline,7,Event_Aware_5Fold_CV,0.9595,0.9614,0.9018,0.8961,0.8989,0.0766,0.0383,990,107,114,983
Exp_RandomForestClassifier,Model_B_Terrain_Enhanced,13,Chronological_Holdout,0.9066,0.9176,0.8367,0.8181,0.8273,0.124,0.0518,716,136,155,697
Exp_RandomForestClassifier,Model_B_Terrain_Enhanced,13,Location_Group_5Fold_CV,0.9613,0.9642,0.9123,0.8815,0.8966,0.0769,0.0366,1004,93,130,967
Exp_RandomForestClassifier,Model_B_Terrain_Enhanced,13,District_Group_5Fold_CV,0.931,0.9353,0.8853,0.8022,0.8417,0.1052,0.0298,983,114,217,880
Exp_RandomForestClassifier,Model_B_Terrain_Enhanced,13,Event_Aware_5Fold_CV,0.9613,0.9642,0.9123,0.8815,0.8966,0.0769,0.0366,1004,93,130,967
Exp_HistGradientBoostingClassifier,Model_B_Terrain_Enhanced,13,Chronological_Holdout,0.908,0.913,0.8053,0.8638,0.8335,0.1335,0.0843,674,178,116,736
Exp_HistGradientBoostingClassifier,Model_B_Terrain_Enhanced,13,Location_Group_5Fold_CV,0.9556,0.9558,0.8954,0.8815,0.8884,0.0835,0.0415,984,113,130,967
Exp_HistGradientBoostingClassifier,Model_B_Terrain_Enhanced,13,District_Group_5Fold_CV,0.9221,0.9269,0.8583,0.7949,0.8254,0.1207,0.0753,953,144,225,872
Exp_HistGradientBoostingClassifier,Model_B_Terrain_Enhanced,13,Event_Aware_5Fold_CV,0.9556,0.9558,0.8954,0.8815,0.8884,0.0835,0.0415,984,113,130,967
Exp_RandomForestClassifier,Model_C_Terrain_Historical_Inventory,15,Chronological_Holdout,0.8829,0.8793,0.8293,0.8099,0.8195,0.1386,0.0946,710,142,162,690
Exp_RandomForestClassifier,Model_C_Terrain_Historical_Inventory,15,Location_Group_5Fold_CV,0.9649,0.9683,0.9104,0.8988,0.9046,0.0736,0.0377,1000,97,111,986
Exp_RandomForestClassifier,Model_C_Terrain_Historical_Inventory,15,District_Group_5Fold_CV,0.8953,0.8815,0.8391,0.5278,0.648,0.1456,0.1096,986,111,518,579
Exp_RandomForestClassifier,Model_C_Terrain_Historical_Inventory,15,Event_Aware_5Fold_CV,0.9649,0.9683,0.9104,0.8988,0.9046,0.0736,0.0377,1000,97,111,986
Exp_HistGradientBoostingClassifier,Model_C_Terrain_Historical_Inventory,15,Chronological_Holdout,0.8915,0.9023,0.7926,0.8345,0.813,0.1445,0.1111,666,186,141,711
Exp_HistGradientBoostingClassifier,Model_C_Terrain_Historical_Inventory,15,Location_Group_5Fold_CV,0.9629,0.9645,0.9015,0.9015,0.9015,0.0746,0.0375,989,108,108,989
Exp_HistGradientBoostingClassifier,Model_C_Terrain_Historical_Inventory,15,District_Group_5Fold_CV,0.9025,0.8911,0.857,0.7648,0.8083,0.1369,0.1111,957,140,258,839
Exp_HistGradientBoostingClassifier,Model_C_Terrain_Historical_Inventory,15,Event_Aware_5Fold_CV,0.9629,0.9645,0.9015,0.9015,0.9015,0.0746,0.0375,989,108,108,989
